name,wikidata_qid,founded_year,status
Babcock University,Q653638,1959,done
Badji Mokhtar-Annaba University,Q4118237,1975,done
Badr University in Cairo,Q20411399,2014,done
Bahir Dar University,Q4842597,2001,done
Bamenda University of Science and Technology,Q30266462,1995,done
"Bamidele Olumilua University of Education, Science and Technology",Q133811746,2020,done
Bani-Waleed University,Q102347728,2015,done
"Baptist College of Theology, Obinze",Q134251232,1977,done
Baptist Theological College of Southern Africa,Q4857686,1951,done
Bayan University,Q4874272,1997,done
Bayelsa Medical University,Q104853646,2018,done
Bayero University Kano,Q3511498,1962,done
Baze University,Q4875157,2011,done
Bel Campus Technological University,Q30294192,NA,done
Bells University of Technology,Q4884154,2004,done
Benadir University,Q721109,2002,done
Benghazi Military University Academy,Q4887749,1957,done
Benha National University,Q105576298,NA,done
Benha University,Q1042722,1976,done
Beni American University,Q30266595,2014,done
Beni-Suef University,Q4887885,2005,done
Benson Idahosa University,Q181419,2002,done
Benue State University,Q4890689,1992,done
Biaka University Institute of Buea,Q135738794,1998,done
Bindura University of Science Education,Q4914065,1996,done
Bingham University,Q5322769,2005,done
Binyaminu Usman Polytechnic,Q108597299,1992,done
Bishop Stuart University,Q4917719,2003,done
Blue Nile University,Q4929571,1995,done
BlueCrest University College,Q100955843,2000,done
Boitekanelo College,Q135739156,2007,done
Bomet University College,Q112751982,2017,done
Borana University,Q138860412,2017,done
Botho University,Q4948645,1997,done
Botswana Accountancy College,Q4948875,1996,done
Botswana International University of Science and Technology,Q2856101,2005,done
Botswana Open University,Q61931288,1993,done
Botswana University of Agriculture and Natural Resources,Q3388063,1991,done
Bowen University,Q16255327,2001,done
Bridge University,NA,NA,done
Brighton International University,Q767720,NA,done
British University in Egypt,Q3087723,2005,done
Bugema University,Q4986155,1948,done
Bujumbura Christian University,Q100523633,NA,done
Bukalasa Agricultural College,NA,NA,done
Bule Hora University,Q30266538,2008,done
Burao University,Q3551573,2004,done
Busitema University,Q5001978,2007,done
Busoga University,Q9091624,1999,done
Cadi Ayyad University,Q737095,1978,done
Cairo Higher Institute,Q12193488,1957,done
Cairo University,Q194445,1908,done
Caleb University,Q5019318,1995,done
Cameroon Field Epidemiology Training Programme,Q138460726,2010,done
Canadian International College,Q5030197,2004,done
Cape Coast Technical University,Q1034369,1986,done
Cape Peninsula University of Technology,Q1034468,2005,done
Cape Town Baptist Seminary,Q139032353,1974,done
Cape Town Creative Academy,Q133811010,2012,done
"Captain Elechi Amadi Polytechnic, Rumuola",Q7338302,1987,done
Caritas University,Q1771027,2005,done
Carnegie Mellon University Africa,NA,NA,done
Catholic University College of Ghana,Q1051100,2003,done
Catholic University Institute of Buea,Q30266849,1944,done
Catholic University of Angola,Q1707542,1999,done
Catholic University of Cameroon,Q1707329,2010,done
Catholic University of Central Africa,Q1707564,1989,done
Catholic University of Eastern Africa,Q1736407,1984,done
Catholic University of Health and Allied Sciences,Q15208026,1994,done
Catholic University of Kabgayi,Q30294341,NA,done
Catholic University of Madagascar,Q30294285,1960,done
Catholic University of Mozambique,Q650358,1996,done
Catholic University of South Sudan,Q5053269,2008,done
Catholic University of West Africa,Q1583850,2000,done
Catholic University of Zimbabwe,Q8071970,1999,done
Cavendish University Uganda,Q5055032,2008,done
Cavendish University Zambia,Q5055033,2004,done
Center for Research in Islamic Sciences and Civilization,Q138655067,2016,done
Center of Research in Mechanics,Q133811280,NA,done
Central University,Q584919,1943,done
Central University of Technology,Q1054047,1981,done
Centre Africain d'Études Supérieures en Gestion,Q30294349,NA,done
Centre Universitaire Morsli Abdellah de Tipaza,Q110529944,2011,done
Centre Universitaire Nour Bachir El Bayadh,Q100258387,NA,done
Centre Universitaire de Labé,Q30294213,NA,done
Centre Universitaire de Mila,NA,NA,done
Centre d'Intelligence Artificielle et de Robotique du Mali,Q136352035,2023,done
Centre de Recherche en Aménagement du Territoire,Q133810732,2019,done
Centre d’excellence africain pour la prévention et le contrôle des maladies transmissibles,Q135398381,2018,done
"Centre for Mathematics, Science and Technology Education in Africa",Q139771243,2004,done
Centro Nacional de Artesanato,Q5062855,NA,done
Chadli Bendjedid El Tarf University,NA,NA,done
Chalimbana University,Q96374720,1939,done
Chartered Institute of Marketing Ghana,Q16733405,1981,done
Cheikh Anta Diop University,Q671363,1918,done
Chinhoyi University of Technology,Q5101057,2001,done
Chouaib Doukkali University,Q12204499,1985,done
Chrisland University,Q22079853,2015,done
Christian Bilingual University of Congo,Q5109336,2006,done
Christian Service University College,Q1081899,1966,done
Chuka University,Q16258266,2004,done
Chukwuemeka Odumegwu Ojukwu University,Q4751185,2000,done
"Chukwuemeka Odumegwu Ojukwu University, Igbariam Campus",Q135398237,NA,done
Claretian University of Nigeria,Q107724160,2021,done
Clarke International University,Q116482965,2008,done
College of African Wildlife Management,Q5146612,1963,done
College of Agriculture Science and Technology,Q137204444,1977,done
College of Business Education,Q30294229,1965,done
"College of Education, Akwanga",Q107462934,1976,done
College of Electrical and Electronics Technology,Q138860535,1973,done
College of Science and Technology - University of Rwanda,NA,NA,done
"College of Technical Science, Bani Walid",Q136448389,1996,done
College of Technical Sciences Derna,Q133811849,1992,done
Colleges of Medicine of South Africa,Q5146930,NA,done
Comprehensive Autism and related Disabilities Education and Training,Q30286923,NA,done
"Confluence University of Science and Technology, Osara",NA,NA,done
Copperbelt University,Q339314,1987,done
Copperstone University,Q5168854,2004,done
Corona College of Education,Q107478104,2014,done
Covenant University,Q742241,2002,done
Cranefield College,Q30294176,NA,done
Crawford University,Q5182920,2005,done
Crescent University,Q5184436,2005,done
Cuttington University,Q5197010,1889,done
D.S. Adegbenro ICT Polytechnic,Q108597444,2006,done
DMI St. Eugene University,Q25043205,1984,done
DMI-St. John the Baptist University,Q100955848,2011,done
Da Vinci Institute,Q30294182,NA,done
Dalanj University,Q5210213,1995,done
Dale Kietzman University,Q135739051,2007,done
Damanhour University,Q3699436,2010,done
Damelin,Q5212152,1943,done
Damietta University,Q5212540,2012,done
Dar es Salaam Institute of Technology,Q5221955,1997,done
David Umahi Federal University of Health Sciences Uburu,Q130451603,2021,done
Daystar University,Q5243437,1989,done
Debark University,Q77583759,NA,done
Debre Berhan University,Q18350858,2007,done
Debre Markos University,Q5248546,1999,done
Debre Tabor University,Q77583268,2008,done
Dedan Kimathi University of Technology,Q5249724,1972,done
"Delta State College of Education, Mosogar",Q135738978,2002,done
Delta State Polytechnic Ogwashi-Uku,Q28458409,NA,done
Delta State Polytechnic Otefe-Oghara,NA,NA,done
Delta State University,Q3887993,1924,done
Delta State University of Science and Technology Ozoro,NA,NA,done
Delta University for Science and Technology,Q12204426,2007,done
Dessie Health Science College,Q138860640,1964,done
Dhow Countries Music Academy,Q56294077,2002,done
Dilla University,Q20629650,1996,done
Dire Dawa University,Q5280195,2006,done
"Dominican University, Ibadan",NA,NA,done
Dominion University College,Q100942462,2009,done
"Dominion University, Ibadan",NA,NA,done
Dr. Hilla Limann Technical University,Q125019643,1999,done
Durban University of Technology,Q926710,2002,done
ENSIT,Q3798136,NA,done
ESCA Ecole de Management,Q18213503,1992,done
ESEP-LE BERGER University,Q99747384,1999,done
East Africa Star University,Q100523641,2012,done
East Africa University,Q5327643,1999,done
East African University,Q99287205,NA,done
Eastern Africa Statistical Training Centre,Q134515438,1965,done
Eastern Technical University of Sierra Leone,NA,NA,done
Eastern and Southern African Management Institute,Q5330584,1979,done
Ebonyi State University,Q5331946,1999,done
Eckernforde Tanga University,Q16966704,2010,done
Ecole Centrale Casablanca,Q17626162,2013,done
Ecole Mohammadia d'Ingénieurs,Q3577687,1959,done
Ecole Nationale Polytechnique de Constantine,Q17651592,2011,done
"Ecole Nationale Supérieur des Télécommunications et des Technologies de l’Information et de la Communication, Abdelhafid Boussouf",NA,NA,done
Ecole Nationale Supérieure de Biotechnologie Taoufik Khaznadar,Q104876326,2011,done
Ecole Nationale Supérieure de Sciences Politiques,Q135739348,2009,done
Ecole Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral,Q30294184,2008,done
Ecole Nationale Supérieure des Technologies Avancées,Q135398220,2022,done
Ecole Nationale d'Administration,Q273579,1945,done
Ecole Nationale d’Ingénieurs – Abderhamane Baba Touré,NA,NA,done
Ecole Normale Supérieure d'Oran,Q138860142,2014,done
Ecole Normale Supérieure of Laghouat,Q133811924,2011,done
Ecole Supérieure d'Agronomie Mostaganem,Q124525859,2018,done
Ecole Supérieure d’Economie Appliquée,NA,NA,done
Ecole Supérieure en Sciences Biologiques d’Oran,Q133811043,2017,done
Ecole de santé publique de Kinshasa,NA,NA,done
Ecole supérieure en science et technologies de l'informatique et du numérique,Q100260499,2020,done
Eden University,Q65080544,2010,done
Edexcel University,Q100955836,2015,done
Edna Adan University,Q85758593,NA,done
Edo State University Uzairue,Q24254508,2016,done
Eduardo Mondlane University,Q890884,1962,done
Education for All Campaign Network,Q137943856,2002,done
Eduvos,Q133812061,1979,done
Edwin Clark University,Q56274195,2015,done
Egerton University,Q3915401,1939,done
Egypt-Japan University of Science and Technology,Q4115744,2010,done
Egyptian Aviation Academy,Q6875918,NA,done
Egyptian Chinese University,Q29513905,2013,done
Egyptian College of Critical Care Physicians,Q30265707,NA,done
Egyptian Institute of Alexandria Academy for Administration & Accounting,Q30294278,NA,done
Egyptian Russian University,Q2597842,2006,done
Egyptian Universities Network,Q30253677,NA,done
Egyptian e-Learning University,Q12185355,2008,done
Ekiti State University,Q7895014,1982,done
El Asher University,Q22929364,2009,done
El Shorouk Academy,Q12180089,1995,done
ElSewedy University of Technology,Q122186974,2023,done
Elizade University,Q16733493,2013,done
Elsahel Teaching Hospital Cairo Egypt,NA,NA,done
Elsheikh Abdallah Elbadri University,Q16121178,2002,done
Emir Abdelkader University of Islamic Sciences,Q5372520,1984,done
"Emmanuel Alayande University of Education, Oyo",NA,NA,done
Enieg Oxford University Institute,Q135739043,2022,done
Enugu State University of Science and Technology,Q5380877,1979,done
Equator University of Science and Technology,Q131763159,NA,done
Ernest Cook University,Q65512610,2002,done
Escola Superior Pedagógica do Cuanza Norte,Q65175001,2009,done
Escola Superior de Jornalismo,Q30294202,NA,done
Espam Formation University,Q30266447,2007,done
Ethiopian Civil Service University,Q5403540,1995,done
Ethiopian Defence University,NA,NA,done
Ethiopian Institute of Agricultural Research,Q5403550,1940,done
Ethiopian Institute of Water Resources,Q121599439,2011,done
Ethiopian Police University College,NA,NA,done
Euclid University,Q5406105,2005,done
Euro-Mediterranean University of Fes,NA,NA,done
Evangelical Presbyterian University College,Q5415743,2008,done
Evelyn Hone College,Q1259137,1965,done
Evolutionary Engineering & Distributed Information Systems Laboratory,Q135095075,NA,done
Examinations Council of Zambia,Q48815184,1987,done
Experiential Higher Institute of Science and Technology (EXHIST),NA,NA,done
Ez-Zitouna University,Q428136,737,done
FCT College of Education,Q61931453,1996,done
FOMIC Polytechnic University Institute,Q135738658,2011,done
Faculty of Economics and Management of Sfax,NA,NA,done
Faculty of Sciences of Sfax,Q91611455,NA,done
Fairland University,Q5430506,2001,done
Fayoum University,Q4119550,2005,done
Federal College of Agrioculture Ishiagu,NA,NA,done
Federal College of Animal Health and Production Technology Ibadan,NA,NA,done
Federal College of Education (Technical) Asaba,NA,NA,done
Federal College of Education (Technical) Bichi,NA,NA,done
Federal College of Education (Technical) Ekiadolor,NA,NA,done
Federal College of Education Gidan Madi,Q138460674,2021,done
"Federal College of Education, Eha-Amufu",Q107477950,1981,done
"Federal College of Education, Iwo",Q111936422,2020,done
"Federal College of Education, Kano",Q105095640,1965,done
Federal College of Fisheries and Marine Technology,Q5440063,1969,done
Federal College of Medical Laboratory Science and Technology,Q135095498,NA,done
Federal Institute of Industrial Research Oshodi,Q30261806,1953,done
Federal Polytechnic Ayede,Q117447602,2021,done
Federal Polytechnic Damaturu,Q100709256,1992,done
Federal Polytechnic Ede,Q109248945,1992,done
Federal Polytechnic Kabo,Q138654995,2023,done
Federal Polytechnic Nekede,Q109235461,1977,done
Federal Polytechnic Ohodo,Q133810671,2021,done
Federal Polytechnic Oko,NA,NA,done
Federal Polytechnic Orogun,Q133810698,2023,done
Federal Polytechnic Wannune,Q132803481,2021,done
"Federal Polytechnic, Ile-Oluji, Ondo State",Q107475800,2016,done
"Federal Polytechnic, Ukana",Q107476580,2014,done
"Federal School of Surveying, Oyo",Q113519266,1908,done
Federal University Birnin Kebbi,Q108871044,2014,done
Federal University Gashua,Q17929189,2013,done
Federal University Kashere,Q109096771,2011,done
Federal University Lafia,Q108871055,2011,done
Federal University Lokoja,Q18354920,2011,done
Federal University Otuoke,Q22080808,2011,done
Federal University Oye Ekiti,Q5440473,2011,done
Federal University of Agriculture,Q7895022,1988,done
Federal University of Agriculture Zuru,NA,NA,done
"Federal University of Allied Health Sciences, Enugu",Q136663946,2024,done
"Federal University of Health Sciences, Ila-Orangun",NA,NA,done
"Federal University of Health Sciences, Otukpo",Q133896459,NA,done
Federal University of Petroleum Resource Effurun,Q16838161,2007,done
Federal University of Technology,Q5440486,1981,done
Federal University of Technology Ikot Abasi,Q121408943,NA,done
Federal University of Technology Minna,Q17105410,1983,done
Federal University of Technology Owerri,Q5440485,1980,done
"Federal University of Technology, Babura",Q133811744,2021,done
Fezzan University,Q102347733,2017,done
Fins Medical University,Q65046746,NA,done
Fisheries Education and Training Agency,Q132803446,2012,done
Fountain University,Q5474772,2007,done
Freetown Polytechnic,Q135398273,NA,done
French University of Egypt,Q3183238,2002,done
Future Academy,Q95974971,NA,done
Future University in Egypt,Q3013175,2006,done
Gaborone University College Of Law and Professional Studies,Q30266466,2006,done
Gadarif University,NA,NA,done
Gamal Abdel Nasser University of Conakry,Q2496012,1962,done
Gambia National Library Service Authority,NA,NA,done
Garden City University College,Q284673,2001,done
Gateway ICT Polytechnic Saapade,Q135398351,2006,done
German International University,Q139771466,2019,done
German University in Cairo,Q691097,2002,done
Ghana Armed Forces Command and Staff College,Q107518931,1963,done
Ghana Baptist University College,Q1521340,2006,done
Ghana Christian University College,Q1521341,1966,done
Ghana College of Physicians and Surgeons,Q65049397,NA,done
Ghana Communication Technology University,Q1521371,2006,done
Ghana Institute of Languages,Q5555360,1961,done
Ghana Institute of Management and Public Administration,Q16733564,1961,done
Giza Engineering Institute,Q135095187,NA,done
Global Centre for Academic Research,Q135398337,2018,done
Global Wealth University,Q138860205,2015,done
Glorious Vision University,Q7410732,2011,done
Godfrey Okoye University,Q13601184,2009,done
Gollis University,Q5580839,2004,done
Gombe State College of Health Sciences and Technology Kaltungo,Q133811647,1982,done
Gombe State University,Q5581122,2004,done
Great Lakes University of Kisumu,Q5599489,2006,done
Great Zimbabwe University,Q5600321,1995,done
Green Hope University,Q138587616,2006,done
Greenfield University,Q65058557,2019,done
Greenside Design Center College of Design,Q30294159,NA,done
Gregory University Uturu,NA,NA,done
Gretsa University,Q5607783,2006,done
Groupe AFI,NA,NA,done
Groupe Institut des Hautes Études Économiques et Sociales,Q30294382,NA,done
Groupe École Supérieure de Commerce de Dakar,Q30294356,NA,done
Gulu University,Q5617918,2001,done
Gwanda State University,Q5623285,2012,done
Gweru Polytechnic Institute,Q5623566,NA,done
HIBMAT University Institute of Buea,Q135738430,2010,done
Haramaya University,Q5654075,1954,done
Harare Institute of Technology,Q5654201,1988,done
Hassan Usman Katsina Polytechnic,Q24590309,1983,done
Hassania School of Public Works,Q3577670,1971,done
Hassiba Benbouali University of Chlef,Q29426444,1983,done
Haute École de Commerce et de Management,Q30294294,1999,done
Hautes Études Chrétiennes de Management et de Mathématiques Appliquées,Q30294283,NA,done
Hawassa University,Q5684692,1999,done
Health International Private University,Q30294290,NA,done
Hebron Theological College,Q41568453,NA,done
Helderberg College,Q3129583,1893,done
Heliopolis University,Q12204553,2012,done
Helix Biogen Institute,Q138654924,2019,done
Helwan University,Q10276202,2002,done
Hensard University,Q125138382,2023,done
Heritage Christian University,Q5738742,1971,done
Heritage Polytechnic,Q16928304,NA,done
High Institute For Computers and Management Information Systems,Q30265848,NA,done
High Institute for Management Sciences,NA,NA,done
High Institute of Management and Entrepreneurship,Q30294323,2013,done
High-Tech Rabat-Agdal,Q30294296,NA,done
Higher Institute for Qualitative Studies,NA,NA,done
"Higher Institute for Tourism, Hotels and Computer",Q30294291,NA,done
Higher Institute of Advanced Studies,Q12193483,NA,done
Higher Institute of Applied Arts,Q30294321,NA,done
Higher Institute of Computer Science and Management Technology,Q30294408,NA,done
Higher Institute of Engineering,Q17004556,1994,done
Higher Institute of Engineering Technologies Tripoli,Q139408006,1992,done
"Higher Institute of Engineering and Technology, Kafrelsheikh",Q135738808,2006,done
Higher Institute of Food Industries of Tunis,Q30261826,1976,done
Higher Institute of Islamic Studies,Q30294424,NA,done
Higher Institute of Medical Sciences and Technologies,Q136225104,1982,done
"Higher Institute of Mining, Industry and Geology",Q3577935,1982,done
Higher Institute of Science and Technology Tajoura,Q136448415,2021,done
"Higher Institute of Science and Technology, Qaser Bin Ghashir, Libya",Q139771612,1996,done
Higher Institute of Social Service,Q30294299,1936,done
Higher Knowledge Institute of Languages ​​and Translation,Q30294275,NA,done
"Higher National School of Renewable Energies, Environment & Sustainable Development",Q135095705,2020,done
Higher National Veterinary School,Q3578271,1970,done
Higher School of Management of Tlemcen,NA,NA,done
Higher School of Saharan Agriculture - El Oued,NA,NA,done
Higher Technological Institute,Q14590694,1988,done
"Higher Technological Institute, 6th of October City",Q134523996,1996,done
Hillside Teachers' College,Q137943740,NA,done
Ho Technical University,Q1325425,1968,done
Hope Africa University,Q2687972,2000,done
Hope University,Q5899559,2008,done
Hormuud University,Q100955860,2010,done
Horseed International University,Q28221476,NA,done
Hubert Kairuki Memorial University,Q5927408,1997,done
Hussaini Adamu Federal Polytechnic,Q17093214,1991,done
Hypatia of Alexandria Institute for Reflexion and Studies,Q61931494,NA,done
IGAD Sheikh Technical Veterinary School and Reference Centre,Q30266915,NA,done
IIE MSA,Q176667,2001,done
IMM Graduate School of Marketing,Q5972037,1960,done
INES-Ruhengeri,Q105095653,2003,done
ISBAT University,Q63831113,2005,done
Ibrahim Badamasi Babangida University,Q17929219,2005,done
Igbinedion University,Q5991557,1999,done
Imo State Polytechnic Omuma,NA,NA,done
Imo State University,Q6005644,1981,done
"Indian Institute of Technology Madras, Zanzibar",Q135739042,2023,done
Infonet College,Q6030507,2002,done
Information and Communications University,Q491101,1998,done
Injibara University,Q130537753,NA,done
Inoorero University,Q16979416,1983,done
Institut Africain d'Informatique,Q3151823,1971,done
Institut Agronomique et Vétérinaire Hassan II,Q3151828,1966,done
Institut Facultaire des Sciences de l'Information et de la Communication,NA,NA,done
Institut Facultaire des sciences Agronomiques de Yangambi,NA,NA,done
Institut International des Assurances,Q30294345,1972,done
Institut International des Sciences et de Technologie,Q30294367,NA,done
Institut Marocain de Management,Q30294383,NA,done
Institut National Agronomique de Tunisie,Q771642,1970,done
Institut National Polytechnique Félix Houphouët-Boigny,Q3152449,1996,done
Institut National Supérieur des Sciences et Techniques d'Abéché,NA,NA,done
Institut National de Statistique et d'Economie Appliquée,Q2737222,1961,done
Institut National de la Jeunesse et des Sports,Q20127556,1960,done
Institut National de la Poste et des Technologies de l'Information et de la Communication,Q30294205,NA,done
Institut National de la Recherche Agronomique de Tunisie,Q30254553,1898,done
Institut National de sante publique,Q100523645,1999,done
Institut National des Postes et Télécommunications,Q3152433,1961,done
Institut National des Sciences Comptables et de l’Administration d’Entreprises,Q18779685,1981,done
Institut National des Sciences de l'Archéologie et du Patrimoine,Q25381383,1986,done
Institut National du Bâtiment et des Travaux Publics,Q30294462,NA,done
Institut National d’Hygiène Publique,Q30256987,NA,done
Institut Panafricain pour le Développement Afrique Centrale,Q30294337,NA,done
Institut Pasteur de Bangui,Q30281752,1961,done
Institut Polytechnique Africain,Q100452192,2016,done
Institut Polytechnique Rural de Formation et de Recherche Appliquée,Q16643761,1897,done
Institut Privé de Gestion Institut Supérieur de Technologie Industrielle,NA,NA,done
Institut PrépaVogt,Q50315165,NA,done
Institut Préparatoire aux Études d'Ingénieurs de Monastir,Q30263821,1992,done
Institut Royal de Formation des Cadres de la Jeunesse et des Sports,Q30294173,NA,done
Institut Sous-Régional de Statistique et d'Economie Appliquée,Q30294352,NA,done
Institut Superieur Sapientiae de Bafoussam,Q135739127,2010,done
Institut Supérieur de Formation à Distance,Q30294430,NA,done
Institut Supérieur Agronomique et Vétérinaire Valéry Giscard d'Estaing,Q30294209,1990,done
Institut Supérieur International du Tourisme de Tanger,Q131617379,1972,done
Institut Supérieur Privé Polytechnique,Q61931859,1988,done
Institut Supérieur Pédagogique Technique,NA,NA,done
Institut Supérieur Pédagogique de Bukavu,Q3152630,1961,done
Institut Supérieur Pédagogique de Gitwe,Q30294325,NA,done
Institut Supérieur d'Etudes Sociales,Q30294381,NA,done
Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse,Q134524014,NA,done
Institut Supérieur d'Études Maritimes,Q21619090,1978,done
Institut Supérieur de Biotechnologie de Sfax,Q12193470,2002,done
Institut Supérieur de Commerce de Kinshasa,Q3152555,NA,done
Institut Supérieur de Commerce et d'Administration des Entreprises,Q3152559,1971,done
Institut Supérieur de Développement Rural,Q97182768,1962,done
Institut Supérieur de Formation en Technologie Alimentaire,Q30294389,NA,done
Institut Supérieur de Gestion,Q1659456,1967,done
Institut Supérieur de Gestion de Tunis,Q22931737,1969,done
Institut Supérieur de Gestion des Entreprises,Q30294312,1987,done
Institut Supérieur de Statistique de Lubumbashi,Q30294214,NA,done
Institut Supérieur de Statistiques de Kinshasa,Q3152585,1974,done
Institut Supérieur de Technique Médicale,Q30294168,NA,done
Institut Supérieur de Techniques Appliquées,Q136663718,1973,done
Institut Supérieur de Technologie Médicale,Q108737409,2005,done
Institut Supérieur de Technologie d'Antananarivo,Q63862261,NA,done
Institut Supérieur de comptabilité Audit et Finance,Q30294388,NA,done
Institut Supérieur de l'Information et de la Communication,Q30294162,NA,done
Institut Supérieur de l'Informatique et de Gestion,Q100955861,2013,done
"Institut Supérieur de la Communication, des Affaires et du Management",Q3152572,1990,done
Institut Supérieur des Etudes Technologiques de Tozeur,Q100260550,NA,done
Institut Supérieur des Etudes Technologiques de Zaghouan,Q139771427,2002,done
Institut Supérieur des Métiers du Patrimoine de Tunis,Q135738898,2000,done
