name,inst_id
Financial University under the Government of the Russian Federation,https://openalex.org/I211738395
Flinders University,https://openalex.org/I169541294
Florida Agricultural and Mechanical University,https://openalex.org/I8248082
Florida Atlantic University,https://openalex.org/I63772739
Florida Institute of Technology,https://openalex.org/I106959904
Florida International University,https://openalex.org/I19700959
Florida State University,https://openalex.org/I103163165
Fluminense Federal University,https://openalex.org/I161127581
Fordham University,https://openalex.org/I164389053
Free University of Berlin,https://openalex.org/I75951250
Free University of Bozen-Bolzano,https://openalex.org/I171543936
Friedrich Schiller University Jena,https://openalex.org/I76198965
Fu Jen Catholic University,https://openalex.org/I114150738
Fudan University,https://openalex.org/I24943067
Fujian Agriculture and Forestry University,https://openalex.org/I61057504
Fujian Normal University,https://openalex.org/I111753288
Fujita Health University,https://openalex.org/I145673806
Fukuoka University,https://openalex.org/I31784960
Future University in Egypt,https://openalex.org/I186217134
Fuzhou University,https://openalex.org/I80947539
GITAM University,https://openalex.org/I885392262
GLA University,https://openalex.org/I82571370
Gabriele d‘Annunzio University,https://openalex.org/I39387349
Gachon University,https://openalex.org/I12832649
Galgotias University,https://openalex.org/I155125381
Gauhati University,https://openalex.org/I138537684
Gazi University,https://openalex.org/I95634034
Gaziantep University,https://openalex.org/I59738393
Gazipur Agricultural University,https://openalex.org/I222726646
Gdańsk University of Technology,https://openalex.org/I169333911
Gdynia Maritime University,https://openalex.org/I4210125238
Gebze Technical University,https://openalex.org/I109297418
George Emil Palade University of Medicine Pharmacy Science and Technology,https://openalex.org/I3125032317
George Mason University,https://openalex.org/I162714631
George Washington University,https://openalex.org/I193531525
Georgetown University,https://openalex.org/I184565670
Augusta University,https://openalex.org/I25041050
Georgia Institute of Technology,https://openalex.org/I130701444
Georgia Southern University,https://openalex.org/I39815113
Georgia State University,https://openalex.org/I181565077
Georgian Technical University,https://openalex.org/I131762061
German Jordanian University,https://openalex.org/I230091363
German University in Cairo,https://openalex.org/I96823368
Ghent University,https://openalex.org/I32597200
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,https://openalex.org/I5400463
Gifu University,https://openalex.org/I42405503
Giresun University,https://openalex.org/I148202161
Glasgow Caledonian University,https://openalex.org/I195939026
Goa University,https://openalex.org/I140887281
Goethe University Frankfurt,https://openalex.org/I114090438
"Goldsmiths, University of London",https://openalex.org/I55521800
Golestan University,https://openalex.org/I198873322
Golestan University of Medical Sciences,https://openalex.org/I4210127922
Gonabad University of Medical Sciences,https://openalex.org/I4210097772
Gorgan University of Agricultural Sciences and Natural Resources,https://openalex.org/I67388046
Government College University Faisalabad,https://openalex.org/I194348271
Government College University Lahore,https://openalex.org/I43879129
Grand Valley State University,https://openalex.org/I8606887
Graphic Era University,https://openalex.org/I60054993
Graz University of Technology,https://openalex.org/I4092182
Grenoble Alpes University,https://openalex.org/I899635006
Griffith University,https://openalex.org/I11701301
Grigore T. Popa University of Medicine and Pharmacy,https://openalex.org/I304011483
Guangdong University of Technology,https://openalex.org/I139024713
Guangxi Normal University,https://openalex.org/I29739308
Guangxi University,https://openalex.org/I150807315
Guangzhou Medical University,https://openalex.org/I92039509
Guangzhou University,https://openalex.org/I37987034
Gubkin Russian State University of Oil and Gas,https://openalex.org/I119694697
IMT Atlantique,https://openalex.org/I4210127572
IMT Nord Europe,https://openalex.org/I4210133642
IPB University,https://openalex.org/I21881038
ISCTE-University Institute of Lisbon,https://openalex.org/I110026055
ITMO University,https://openalex.org/I173089394
Ibaraki University,https://openalex.org/I6178835
Ibn Tofaïl University,https://openalex.org/I3121676899
Icesi University,https://openalex.org/I76842071
Ilam University,https://openalex.org/I4210116604
Ilam University of Medical Sciences,https://openalex.org/I3017965041
Ilia State University,https://openalex.org/I183003952
Illinois Institute of Technology,https://openalex.org/I180949307
Imam Abdulrahman Bin Faisal University,https://openalex.org/I76571253
Imam Khomeini International University,https://openalex.org/I69425150
Imam Mohammad Ibn Saud Islamic University,https://openalex.org/I240666556
Immanuel Kant Baltic Federal University,https://openalex.org/I149643846
Imperial College London,https://openalex.org/I47508984
Incheon National University,https://openalex.org/I146429904
Indian Institute of Science,https://openalex.org/I59270414
Indian Institute of Science Education and Research Bhopal,https://openalex.org/I288749910
Indian Institute of Science Education and Research Kolkata,https://openalex.org/I127439422
"Indian Institute of Science Education and Research, Pune",https://openalex.org/I181996519
Indian Institute of Technology (Indian School of Mines) Dhanbad,https://openalex.org/I189109744
Indian Institute of Technology Bhubaneswar,https://openalex.org/I99729588
Indian Institute of Technology Bombay,https://openalex.org/I162827531
Indian Institute of Technology Delhi,https://openalex.org/I68891433
Indian Institute of Technology Gandhinagar,https://openalex.org/I27674431
Indian Institute of Technology Guwahati,https://openalex.org/I1317621060
Indian Institute of Technology Hyderabad,https://openalex.org/I65181880
Indian Institute of Technology Indore,https://openalex.org/I64295750
Indian Institute of Technology Kanpur,https://openalex.org/I94234084
Indian Institute of Technology Kharagpur,https://openalex.org/I145894827
Indian Institute of Technology Madras,https://openalex.org/I24676775
Indian Institute of Technology Mandi,https://openalex.org/I9579091
Indian Institute of Technology Patna,https://openalex.org/I132153292
Indian Institute of Technology Roorkee,https://openalex.org/I154851008
Indian Institute of Technology Ropar,https://openalex.org/I119241673
Indiana University,https://openalex.org/I4210119109
Indira Gandhi Delhi Technical University for Women,https://openalex.org/I4210143260
Indraprastha Institute of Information Technology Delhi,https://openalex.org/I119939252
Industrial University of Tyumen,https://openalex.org/I4210119228
Inha University,https://openalex.org/I191879574
Innopolis University,https://openalex.org/I4210116741
Institut Agro,https://openalex.org/I24906876
Institut Polytechnique de Paris,https://openalex.org/I4210145102
Institut Teknologi Bandung,https://openalex.org/I134635517
Institut Teknologi Sepuluh Nopember,https://openalex.org/I166843116
Institute for Advanced Studies in Basic Sciences,https://openalex.org/I161028277
Institute of Chemical Technology,https://openalex.org/I55664587
Institute of Science Tokyo,https://openalex.org/I4210098918
Institute of Space Technology,https://openalex.org/I197827452
Instituto Politécnico Nacional (IPN),https://openalex.org/I68368234
Instituto Politécnico de Bragança,https://openalex.org/I4210092303
Instituto Politécnico de Viana do Castelo,https://openalex.org/I192341844
Instituto Superior Técnico Lisboa,https://openalex.org/I4387152517
Instituto Tecnológico Metropolitano,https://openalex.org/I4210141572
International Hellenic University,https://openalex.org/I183898223
"International Institute of Information Technology, Hyderabad",https://openalex.org/I64189192
"International Islamic University, Islamabad",https://openalex.org/I121243025
International University of Rabat,https://openalex.org/I4210106663
Inönü University,https://openalex.org/I20126385
Ionian University,https://openalex.org/I187792471
Iowa State University,https://openalex.org/I173911158
Iqra University,https://openalex.org/I188771183
Iran University of Medical Sciences,https://openalex.org/I161106909
Iran University of Science and Technology,https://openalex.org/I67009956
Irkutsk National Research Technical University,https://openalex.org/I4210122217
Irkutsk State University,https://openalex.org/I93251985
Isfahan University of Medical Sciences,https://openalex.org/I114982161
Isfahan University of Technology,https://openalex.org/I170013655
Islamia College Peshawar,https://openalex.org/I206573129
Islamic Azad University Karaj,https://openalex.org/I204588832
Islamic University of Indonesia,https://openalex.org/I35427347
Islamic University of Madinah,https://openalex.org/I4210151290
Isra University,https://openalex.org/I92449659
Istanbul Aydın University,https://openalex.org/I179948855
Istanbul Bilgi University,https://openalex.org/I118036225
Istanbul Gelisim University,https://openalex.org/I4210091267
Istanbul Gelişim University,https://openalex.org/I4210091267
Istanbul Medeniyet University,https://openalex.org/I57913696
Istanbul Medipol University,https://openalex.org/I3125470973
Istanbul Technical University,https://openalex.org/I48912391
Istanbul University,https://openalex.org/I67581229
Istanbul University-Cerrahpaşa,https://openalex.org/I4210112471
Ivan Franko National University of Lviv,https://openalex.org/I200280692
Ivane Javakhishvili Tbilisi State University,https://openalex.org/I102808428
Ivanovo State University of Chemistry and Technology,https://openalex.org/I3276886
Iwate University,https://openalex.org/I173009982
Izmir Institute of Technology,https://openalex.org/I120217413
Izmir University of Economics,https://openalex.org/I15059493
JSS Academy of Higher Education and Research,https://openalex.org/I126824641
Jadavpur University,https://openalex.org/I170979836
Jagannath University,https://openalex.org/I4210125938
Jagiellonian University,https://openalex.org/I126596746
Jahangirnagar University,https://openalex.org/I46080048
James Cook University,https://openalex.org/I86467917
James Madison University,https://openalex.org/I11883440
Jamia Hamdard,https://openalex.org/I19716509
Jamia Millia Islamia,https://openalex.org/I59475050
Jan Evangelista Purkyně University,https://openalex.org/I3122934890
Jan Kochanowski University,https://openalex.org/I169495764
Jashore University of Science and Technology,https://openalex.org/I923003605
Jaume I University,https://openalex.org/I10902133
Jawaharlal Nehru Technological University Anantapur,https://openalex.org/I52035452
Jawaharlal Nehru University,https://openalex.org/I152429107
Jaypee Institute of Information Technology,https://openalex.org/I154970844
